Predator,Prey,Pred Mass,Prey Mass,Scenario
Acinonyx_jubatus,Cephalophus_harveyi,4.669317,4.161371,CU
Acinonyx_jubatus,Madoqua_guentheri,4.669317,3.875061,CU
Acinonyx_jubatus,Nanger_granti,4.669317,4.74036,CU
Acinonyx_jubatus,Oreotragus_oreotragus,4.669317,4.11394,CU
Acinonyx_jubatus,Ourebia_ourebi,4.669317,4.236789,CU
Acinonyx_jubatus,Redunca_fulvorufula,4.669317,4.469821,CU
Acinonyx_jubatus,Redunca_redunca,4.669317,4.64395,CU
Acinonyx_jubatus,Sylvicapra_grimmia,4.669317,4.29003,CU
Acinonyx_jubatus,Tragelaphus_scriptus,4.669317,4.63599,CU
Acinonyx_jubatus,Heterohyrax_brucei,4.669317,3.419129,CU
Acinonyx_jubatus,Procavia_capensis,4.669317,3.481443,CU
Acinonyx_jubatus,Acomys_percivali,4.669317,1.342423,CU
Acinonyx_jubatus,Aethomys_hindei,4.669317,2.01494,CU
Acinonyx_jubatus,Arvicanthis_niloticus,4.669317,2.028978,CU
Acinonyx_jubatus,Desmomys_harringtoni,4.669317,1.954243,CU
Acinonyx_jubatus,Desmomys_yaldeni,4.669317,1.672098,CU
Acinonyx_jubatus,Gerbilliscus_kempi,4.669317,2.004321,CU
Acinonyx_jubatus,Gerbilliscus_phillipsi,4.669317,1.798651,CU
Acinonyx_jubatus,Gerbilliscus_robustus,4.669317,1.982271,CU
Acinonyx_jubatus,Gerbillus_pulvinatus,4.669317,1.465383,CU
Acinonyx_jubatus,Lemniscomys_macculus,4.669317,1.481443,CU
Acinonyx_jubatus,Lemniscomys_striatus,4.669317,1.619093,CU
Acinonyx_jubatus,Lophuromys_chrysopus,4.669317,1.634477,CU
Acinonyx_jubatus,Mastomys_erythroleucus,4.669317,1.667453,CU
Acinonyx_jubatus,Mastomys_natalensis,4.669317,1.561101,CU
Acinonyx_jubatus,Myomyscus_brockmani,4.669317,1.469822,CU
Acinonyx_jubatus,Oenomys_hypoxanthus,4.669317,1.954243,CU
Acinonyx_jubatus,Otomys_typus,4.669317,2.125156,CU
Acinonyx_jubatus,Stenocephalemys_albipes,4.669317,1.797268,CU
Acinonyx_jubatus,Taterillus_emini,4.669317,1.716003,CU
Acinonyx_jubatus,Uranomys_ruddi,4.669317,1.606381,CU
Acinonyx_jubatus,Lepus_capensis,4.669317,3.513444,CU
Acinonyx_jubatus,Lepus_habessinicus,4.669317,3.292721,CU
Acinonyx_jubatus,Hyaena_hyaena,4.669317,4.620189,CU
Acinonyx_jubatus,Proteles_cristata,4.669317,4,CU
Acinonyx_jubatus,Caracal_caracal,4.669317,4.1383,CU
Acinonyx_jubatus,Felis_silvestris,4.669317,3.740363,CU
Acinonyx_jubatus,Leptailurus_serval,4.669317,4.079181,CU
Acinonyx_jubatus,Panthera_pardus,4.669317,4.74036,CU
Acinonyx_jubatus,Canis_adustus,4.669317,4.01072,CU
Acinonyx_jubatus,Canis_aureus,4.669317,4.014739,CU
Acinonyx_jubatus,Canis_mesomelas,4.669317,3.929419,CU
Acinonyx_jubatus,Lycaon_pictus,4.669317,4.343411,CU
Acinonyx_jubatus,Otocyon_megalotis,4.669317,3.618048,CU
Acinonyx_jubatus,Cercopithecus_mitis,4.669317,3.69897,CU
Acinonyx_jubatus,Cercopithecus_neglectus,4.669317,3.738781,CU
Acinonyx_jubatus,Chlorocebus_aethiops,4.669317,3.599337,CU
Acinonyx_jubatus,Colobus_guereza,4.669317,4.217431,CU
Acinonyx_jubatus,Erythrocebus_patas,4.669317,3.907949,CU
Acinonyx_jubatus,Papio_anubis,4.669317,4.452234,CU
Acinonyx_jubatus,Saccostomus_mearnsi,4.669317,1.658011,CU
Acinonyx_jubatus,Elephantulus_rufescens,4.669317,1.574031,CU
Acinonyx_jubatus,Graphiurus_murinus,4.669317,1.477121,CU
Acinonyx_jubatus,Tachyoryctes_splendens,4.669317,2.263636,CU
Acinonyx_jubatus,Hystrix_cristata,4.669317,4.210853,CU
Acinonyx_jubatus,Orycteropus_afer,4.669317,4.71892,CU
Acinonyx_jubatus,Smutsia_temminckii,4.669317,3.856118,CU
Acinonyx_jubatus,Galago_senegalensis,4.669317,2.357363,CU
Acinonyx_jubatus,Heliosciurus_gambianus,4.669317,2.469822,CU
Acinonyx_jubatus,Xerus_erythropus,4.669317,2.70105,CU
Acinonyx_jubatus,Crocidura_olivieri,4.669317,1.763428,CU
Acinonyx_jubatus,Aonyx_capensis,4.669317,4.278749,CU
Acinonyx_jubatus,Hydrictis_maculicollis,4.669317,3.60206,CU
Acinonyx_jubatus,Ictonyx_striatus,4.669317,3.113943,CU
Acinonyx_jubatus,Mellivora_capensis,4.669317,3.929419,CU
Acomys_cineraceus,Acomys_percivali,1.307496,1.342423,CU
Acomys_cineraceus,Acomys_wilsoni,1.307496,1.267172,CU
Acomys_cineraceus,Desmomys_yaldeni,1.307496,1.672098,CU
Acomys_cineraceus,Gerbillus_pulvinatus,1.307496,1.465383,CU
Acomys_cineraceus,Lemniscomys_macculus,1.307496,1.481443,CU
Acomys_cineraceus,Lemniscomys_striatus,1.307496,1.619093,CU
Acomys_cineraceus,Lophuromys_chrysopus,1.307496,1.634477,CU
Acomys_cineraceus,Mastomys_erythroleucus,1.307496,1.667453,CU
Acomys_cineraceus,Mastomys_natalensis,1.307496,1.561101,CU
Acomys_cineraceus,Mus_setulosus,1.307496,1.045323,CU
Acomys_cineraceus,Myomyscus_brockmani,1.307496,1.469822,CU
Acomys_cineraceus,Uranomys_ruddi,1.307496,1.606381,CU
Acomys_cineraceus,Saccostomus_mearnsi,1.307496,1.658011,CU
Acomys_cineraceus,Elephantulus_rufescens,1.307496,1.574031,CU
Acomys_cineraceus,Graphiurus_murinus,1.307496,1.477121,CU
Acomys_percivali,Acomys_cineraceus,1.342423,1.307496,CU
Acomys_percivali,Acomys_wilsoni,1.342423,1.267172,CU
